"ExerciseID","Question Type","Exercise Tag","Level","Difficulty","TimeLimitSeconds","Instruction_EN","Instruction_FR","Complete Sentence_EN","Complete Sentence_FR","Correct answer_FR","Correct answer_EN"
"TT017","translate_typed","Tag_Health","A2","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","The doctor recommends drinking more water.","Le medecin recommande de boire plus d eau.","Le medecin recommande de boire plus d eau.","The doctor recommends drinking more water."
"TT018","translate_typed","Tag_Travel","A2","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","They booked a hotel near the beach.","Ils ont reserve un hotel pres de la plage.","Ils ont reserve un hotel pres de la plage.","They booked a hotel near the beach."
"TT019","translate_typed","Tag_Food","A2","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","The restaurant is closed on Mondays.","Le restaurant est ferme le lundi.","Le restaurant est ferme le lundi.","The restaurant is closed on Mondays."
"TT020","translate_typed","Tag_Daily_Life","A2","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","She forgot her umbrella at home.","Elle a oublie son parapluie a la maison.","Elle a oublie son parapluie a la maison.","She forgot her umbrella at home."
"TT021","translate_typed","Tag_Work","B1","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","The project deadline has been moved to next Friday.","La date limite du projet a ete reportee a vendredi prochain.","La date limite du projet a ete reportee a vendredi prochain.","The project deadline has been moved to next Friday."
"TT022","translate_typed","Tag_Travel","B1","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","The flight to Rome was delayed by two hours due to bad weather.","Le vol pour Rome a ete retarde de deux heures en raison du mauvais temps.","Le vol pour Rome a ete retarde de deux heures en raison du mauvais temps.","The flight to Rome was delayed by two hours due to bad weather."
"TT023","translate_typed","Tag_Work","B1","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","The management team discussed the new strategy for the upcoming quarter.","L equipe de direction a discute de la nouvelle strategie pour le prochain trimestre.","L equipe de direction a discute de la nouvelle strategie pour le prochain trimestre.","The management team discussed the new strategy for the upcoming quarter."
"TT024","translate_typed","Tag_School","B1","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","The university offers a wide range of courses in science and technology.","L universite propose une large gamme de cours en sciences et technologie.","L universite propose une large gamme de cours en sciences et technologie.","The university offers a wide range of courses in science and technology."
"TT025","translate_typed","Tag_Health","B1","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","Regular exercise helps reduce the risk of heart disease.","L exercice regulier aide a reduire le risque de maladies cardiaques.","L exercice regulier aide a reduire le risque de maladies cardiaques.","Regular exercise helps reduce the risk of heart disease."
"TT026","translate_typed","Tag_Daily_Life","A1","Easy","60","Translate the sentence into French","Traduisez la phrase en francais","The dog is sleeping under the table.","Le chien dort sous la table.","Le chien dort sous la table.","The dog is sleeping under the table."
"TT027","translate_typed","Tag_Food","A1","Easy","60","Translate the sentence into French","Traduisez la phrase en francais","I like apples and oranges.","J aime les pommes et les oranges.","J aime les pommes et les oranges.","I like apples and oranges."
"TT028","translate_typed","Tag_Family","A1","Easy","60","Translate the sentence into French","Traduisez la phrase en francais","My sister is twelve years old.","Ma soeur a douze ans.","Ma soeur a douze ans.","My sister is twelve years old."
"TT029","translate_typed","Tag_Travel","A1","Easy","60","Translate the sentence into French","Traduisez la phrase en francais","The train station is near the city centre.","La gare est pres du centre-ville.","La gare est pres du centre-ville.","The train station is near the city centre."
"TT030","translate_typed","Tag_Daily_Life","A1","Easy","60","Translate the sentence into French","Traduisez la phrase en francais","It is raining outside today.","Il pleut dehors aujourd hui.","Il pleut dehors aujourd hui.","It is raining outside today."
"TT031","translate_typed","Tag_Work","A2","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","She works in a large office in the city.","Elle travaille dans un grand bureau en ville.","Elle travaille dans un grand bureau en ville.","She works in a large office in the city."
"TT032","translate_typed","Tag_School","A2","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","The students are preparing for their final exams.","Les etudiants se preparent pour leurs examens finaux.","Les etudiants se preparent pour leurs examens finaux.","The students are preparing for their final exams."
"TT033","translate_typed","Tag_Sports","A2","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","The team won the championship last year.","L equipe a remporte le championnat l annee derniere.","L equipe a remporte le championnat l annee derniere.","The team won the championship last year."
"TT034","translate_typed","Tag_Health","A2","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","You should sleep at least eight hours a night.","Vous devriez dormir au moins huit heures par nuit.","Vous devriez dormir au moins huit heures par nuit.","You should sleep at least eight hours a night."
"TT035","translate_typed","Tag_Food","A2","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","The market sells fresh vegetables every morning.","Le marche vend des legumes frais chaque matin.","Le marche vend des legumes frais chaque matin.","The market sells fresh vegetables every morning."
"TT036","translate_typed","Tag_Travel","B1","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","Tourists are advised to book their accommodation in advance.","Les touristes sont conseilles de reserver leur hebergement a l avance.","Les touristes sont conseilles de reserver leur hebergement a l avance.","Tourists are advised to book their accommodation in advance."
"TT037","translate_typed","Tag_Work","B1","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","The company has decided to expand its operations to new markets.","L entreprise a decide d etendre ses activites a de nouveaux marches.","L entreprise a decide d etendre ses activites a de nouveaux marches.","The company has decided to expand its operations to new markets."
"TT038","translate_typed","Tag_Daily_Life","B1","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","Despite the heavy traffic she arrived at the office on time.","Malgre la circulation dense elle est arrivee au bureau a l heure.","Malgre la circulation dense elle est arrivee au bureau a l heure.","Despite the heavy traffic she arrived at the office on time."
"TT039","translate_typed","Tag_School","B1","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","The library has an extensive collection of books on history.","La bibliotheque possede une vaste collection de livres sur l histoire.","La bibliotheque possede une vaste collection de livres sur l histoire.","The library has an extensive collection of books on history."
"TT040","translate_typed","Tag_Family","B1","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","My grandparents have been living in the same house for fifty years.","Mes grands-parents vivent dans la meme maison depuis cinquante ans.","Mes grands-parents vivent dans la meme maison depuis cinquante ans.","My grandparents have been living in the same house for fifty years."
