"ExerciseID","Question Type","Exercise Tag","Level","Difficulty","TimeLimitSeconds","Heading_EN","Heading_FR","Passage Title_EN","Passage Title_FR","Complete Passage_EN","Complete Passage_FR","Fill Paragraph_FR","Fill Paragraph_EN","Correct Answer_FR","Correct Answer_EN","Masked Answer_FR","Masked Answer_EN"
"WFB028","write_fill_blanks","Tag_Work","B1","Medium","360","COMPANY NEWS","NOUVELLES DE L ENTREPRISE","Expansion Plans","Plans d expansion","The company announced plans to expand its operations into several European markets.","L entreprise a annonce des plans pour etendre ses activites dans plusieurs marches europeens.","L entreprise a [1] __________ des plans pour [2] __________ ses activites dans plusieurs marches [3] __________.","The company announced plans to expand its operations into several European markets.","annonce + etendre + europeens","annonce + etendre + europeens","anno___ + eten___ + europ____","anno___ + eten___ + europ____"
"WFB029","write_fill_blanks","Tag_Travel","B1","Medium","360","CULTURAL EXCHANGE","ECHANGE CULTUREL","International Students","Etudiants internationaux","International students are encouraged to participate in cultural activities to improve their language skills.","Les etudiants internationaux sont encourages a participer aux activites culturelles pour ameliorer leurs competences linguistiques.","Les etudiants internationaux sont [1] __________ a [2] __________ aux activites culturelles pour ameliorer leurs [3] __________ linguistiques.","International students are encouraged to participate in cultural activities to improve their language skills.","encourages + participer + competences","encourages + participer + competences","encou_____ + parti_____ + compet_____","encou_____ + parti_____ + compet_____"
"WFB030","write_fill_blanks","Tag_Health","B1","Medium","360","MEDICAL RESEARCH","RECHERCHE MEDICALE","New Treatments","Nouveaux traitements","Scientists have developed new treatments that significantly reduce recovery time for patients.","Les scientifiques ont developpe de nouveaux traitements qui reduisent considerablement le temps de recuperation des patients.","Les scientifiques ont [1] __________ de nouveaux traitements qui [2] __________ considerablement le temps de [3] __________ des patients.","Scientists have developed new treatments that significantly reduce recovery time for patients.","developpe + reduisent + recuperation","developpe + reduisent + recuperation","devel____ + redui____ + recupe______","devel____ + redui____ + recupe______"
"WFB031","write_fill_blanks","Tag_Daily_Life","A1","Medium","360","EVENING ROUTINE","ROUTINE DU SOIR","Before Bed","Avant de dormir","Every evening he reads a book and drinks a cup of tea before going to bed.","Chaque soir il lit un livre et boit une tasse de the avant d aller se coucher.","Chaque soir il [1] __________ un livre et [2] __________ une tasse de the avant d aller se [3] __________.","Every evening he reads a book and drinks a cup of tea before going to bed.","lit + boit + coucher","lit + boit + coucher","li_ + bo__ + couc___","li_ + bo__ + couc___"
"WFB032","write_fill_blanks","Tag_Food","A1","Medium","360","LUNCH BREAK","PAUSE DEJEUNER","At the Canteen","A la cantine","At lunchtime the students eat in the canteen and talk with their friends.","A l heure du dejeuner les eleves mangent a la cantine et parlent avec leurs amis.","A l heure du dejeuner les eleves [1] __________ a la [2] __________ et [3] __________ avec leurs amis.","At lunchtime the students eat in the canteen and talk with their friends.","mangent + cantine + parlent","mangent + cantine + parlent","mang___ + cant___ + parl___","mang___ + cant___ + parl___"
"WFB033","write_fill_blanks","Tag_Sports","A2","Medium","360","SWIMMING POOL","PISCINE","Swimming Lessons","Cours de natation","She goes to the swimming pool twice a week and takes lessons with a professional coach.","Elle va a la piscine deux fois par semaine et prend des cours avec un coach professionnel.","Elle va a la [1] __________ deux fois par [2] __________ et prend des cours avec un coach [3] __________.","She goes to the swimming pool twice a week and takes lessons with a professional coach.","piscine + semaine + professionnel","piscine + semaine + professionnel","pisc___ + sema___ + profess______","pisc___ + sema___ + profess______"
"WFB034","write_fill_blanks","Tag_Family","A1","Medium","360","GRANDPARENTS","GRANDS-PARENTS","Sunday Visit","Visite du dimanche","We visit our grandparents every Sunday and have lunch together in their garden.","Nous rendons visite a nos grands-parents chaque dimanche et dejeuons ensemble dans leur jardin.","Nous [1] __________ visite a nos grands-parents chaque [2] __________ et dejeuons ensemble dans leur [3] __________.","We visit our grandparents every Sunday and have lunch together in their garden.","rendons + dimanche + jardin","rendons + dimanche + jardin","rend___ + dima____ + jar___","rend___ + dima____ + jar___"
"WFB035","write_fill_blanks","Tag_School","A1","Medium","360","LIBRARY","BIBLIOTHEQUE","Quiet Study","Etude tranquille","The students go to the library after class to study and borrow books.","Les eleves vont a la bibliotheque apres les cours pour etudier et emprunter des livres.","Les eleves vont a la [1] __________ apres les cours pour [2] __________ et [3] __________ des livres.","The students go to the library after class to study and borrow books.","bibliotheque + etudier + emprunter","bibliotheque + etudier + emprunter","biblio______ + etud___ + empru____","biblio______ + etud___ + empru____"
"WFB036","write_fill_blanks","Tag_Work","A2","Medium","360","JOB INTERVIEW","ENTRETIEN D EMBAUCHE","First Impression","Premiere impression","She prepared carefully for the interview and arrived ten minutes early.","Elle s est preparee soigneusement pour l entretien et est arrivee dix minutes en avance.","Elle s est [1] __________ soigneusement pour l [2] __________ et est arrivee dix minutes en [3] __________.","She prepared carefully for the interview and arrived ten minutes early.","preparee + entretien + avance","preparee + entretien + avance","prep____ + entre____ + ava___","prep____ + entre____ + ava___"
"WFB037","write_fill_blanks","Tag_Travel","A1","Medium","360","AT THE AIRPORT","A L AEROPORT","Departure Day","Jour de depart","They arrived at the airport two hours before the flight and checked in quickly.","Ils sont arrives a l aeroport deux heures avant le vol et ont fait l enregistrement rapidement.","Ils sont arrives a l [1] __________ deux [2] __________ avant le vol et ont fait l enregistrement [3] __________.","They arrived at the airport two hours before the flight and checked in quickly.","aeroport + heures + rapidement","aeroport + heures + rapidement","aero____ + heu___ + rapid_____","aero____ + heu___ + rapid_____"
"WFB038","write_fill_blanks","Tag_Health","A2","Medium","360","PHARMACY","PHARMACIE","Getting Medicine","Acheter des medicaments","The pharmacist gave her the medicine and explained how to take it correctly.","Le pharmacien lui a donne le medicament et a explique comment le prendre correctement.","Le pharmacien lui a [1] __________ le medicament et a [2] __________ comment le prendre [3] __________.","The pharmacist gave her the medicine and explained how to take it correctly.","donne + explique + correctement","donne + explique + correctement","don__ + expl____ + correc______","don__ + expl____ + correc______"
"WFB039","write_fill_blanks","Tag_Daily_Life","B1","Medium","360","NEIGHBOURHOOD","QUARTIER","Community Life","Vie communautaire","The neighbourhood association organises events to bring residents together and strengthen community bonds.","L association de quartier organise des evenements pour reunir les habitants et renforcer les liens communautaires.","L association de quartier [1] __________ des evenements pour [2] __________ les habitants et [3] __________ les liens communautaires.","The neighbourhood association organises events to bring residents together and strengthen community bonds.","organise + reunir + renforcer","organise + reunir + renforcer","orga____ + reu___ + renfo____","orga____ + reu___ + renfo____"
"WFB040","write_fill_blanks","Tag_Food","B1","Medium","360","GASTRONOMY","GASTRONOMIE","French Cuisine","Cuisine francaise","French cuisine is renowned worldwide for its variety of flavours and sophisticated techniques.","La cuisine francaise est reconnue dans le monde entier pour sa variete de saveurs et ses techniques sophistiquees.","La cuisine francaise est [1] __________ dans le monde entier pour sa [2] __________ de saveurs et ses techniques [3] __________.","French cuisine is renowned worldwide for its variety of flavours and sophisticated techniques.","reconnue + variete + sophistiquees","reconnue + variete + sophistiquees","reco____ + vari___ + sophist______","reco____ + vari___ + sophist______"
