"ExerciseID","Question Type","Exercise Tag","Level","Difficulty","Time","Character Limit","Heading_EN","Heading_FR","Passage Title_EN","Passage Title_FR","Wrong Sentence_EN","Wrong Sentence_FR","Correct Sentence_EN","Correct Sentence_FR","Instructions box_EN","Instructions box_FR"
"CS014","correct_spelling","Tag_Daily_Life","A2","Medium","360","500","SHOPPING DAY","JOURNEE DE COURSES","Weekend Activities","Activites du week-end","She forgeted her umbrela at home and got completly wet.","Elle a oublie son parapluie a la maison et est devenu completement mouille.","She forgot her umbrella at home and got completely wet.","Elle a oublie son parapluie a la maison et est devenue completement mouilee.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS015","correct_spelling","Tag_Family","A2","Medium","360","500","FAMILY DINNER","DINER EN FAMILLE","Evening Routine","Routine du soir","My mother cooked a delicous meal and we eated togeter.","Ma mere a cuisinier un repas delicieux et nous avons manger ensemble.","My mother cooked a delicious meal and we ate together.","Ma mere a cuisine un repas delicieux et nous avons mange ensemble.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS016","correct_spelling","Tag_Work","A2","Medium","360","500","TEAM MEETING","REUNION D EQUIPE","Office Life","Vie au bureau","The meetting was canceld becaus the maneger was sick.","La reunon a ete annulee parce que le directur etait malade.","The meeting was cancelled because the manager was sick.","La reunion a ete annulee parce que le directeur etait malade.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS017","correct_spelling","Tag_Travel","A2","Medium","360","500","AIRPORT DELAYS","RETARDS A L AEROPORT","Travel Problems","Problemes de voyage","Our fligth was delaid by two houres due to bad wether.","Notre vol a ete retarde de deux heure en raison du mauvais tems.","Our flight was delayed by two hours due to bad weather.","Notre vol a ete retarde de deux heures en raison du mauvais temps.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS018","correct_spelling","Tag_Sports","A2","Medium","360","500","CHAMPIONSHIP WIN","VICTOIRE AU CHAMPIONNAT","Sports News","Actualites sportives","The teem woned the chamionship and celebreted all nite.","L equipe a gagne le champioship et a fete toute la nuit.","The team won the championship and celebrated all night.","L equipe a gagne le championnat et a fete toute la nuit.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS019","correct_spelling","Tag_Health","A2","Medium","360","500","HEALTHY HABITS","HABITUDES SAINES","Wellness","Bien-etre","Reguler excercise and a balenced diet are importent for helth.","L exercice regulier et une alimentation equilibree sont importent pour la sante.","Regular exercise and a balanced diet are important for health.","L exercice regulier et une alimentation equilibree sont importants pour la sante.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS020","correct_spelling","Tag_Daily_Life","A2","Medium","360","500","CITY TRANSPORT","TRANSPORT EN VILLE","Commuting","Trajets quotidiens","She take the buss to work every mornig and arives at nien.","Elle prend le buss pour aller au travail chaque matin et arive a neuf.","She takes the bus to work every morning and arrives at nine.","Elle prend le bus pour aller au travail chaque matin et arrive a neuf.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS021","correct_spelling","Tag_Work","B1","Medium","360","500","PROJECT DEADLINE","DATE LIMITE DU PROJET","Work Pressure","Pression au travail","The project deadline has been move to next Fryday due to unexpeted delays.","La date limite du projet a ete deplace a vendredi prochain en raison de retards inatendu.","The project deadline has been moved to next Friday due to unexpected delays.","La date limite du projet a ete deplacee a vendredi prochain en raison de retards inattendus.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS022","correct_spelling","Tag_School","B1","Medium","360","500","UNIVERSITY LIFE","VIE UNIVERSITAIRE","Higher Education","Enseignement superieur","The university offer a wide range of course in science and tecnology.","L universite propose une large gamme de cour en sciences et tecnologie.","The university offers a wide range of courses in science and technology.","L universite propose une large gamme de cours en sciences et technologie.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS023","correct_spelling","Tag_Travel","B1","Medium","360","500","TRAVEL ADVICE","CONSEILS DE VOYAGE","Planning Ahead","Planifier a l avance","Tourists are adviced to book there accomodation well in advance.","Les touristes sont conseille de reserver leur hebergment bien a l avance.","Tourists are advised to book their accommodation well in advance.","Les touristes sont conseilles de reserver leur hebergement bien a l avance.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS024","correct_spelling","Tag_Health","B1","Medium","360","500","MEDICAL RESEARCH","RECHERCHE MEDICALE","Science News","Actualites scientifiques","Researchs have shown that regular excercise reduce the risk of hart desease.","Des recherches ont montree que l exercice regulier reduit le risque de maladie cardiaque.","Research has shown that regular exercise reduces the risk of heart disease.","Des recherches ont montre que l exercice regulier reduit le risque de maladie cardiaque.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS025","correct_spelling","Tag_Work","B1","Medium","360","500","BUSINESS EXPANSION","EXPANSION COMMERCIALE","Company News","Nouvelles de l entreprise","The company has decide to expand it operations to severel new markets.","L entreprise a decide d etendre ses activite a plusieurs nouveaux marche.","The company has decided to expand its operations to several new markets.","L entreprise a decide d etendre ses activites a plusieurs nouveaux marches.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS026","correct_spelling","Tag_Daily_Life","A1","Easy","360","500","EVENING WALK","PROMENADE DU SOIR","Relaxation","Detente","He walk his dog in the park every evning after diner.","Il promene son chien dans le parc chaque soir apres le diner.","He walks his dog in the park every evening after dinner.","Il promene son chien dans le parc chaque soir apres le diner.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS027","correct_spelling","Tag_Food","A1","Easy","360","500","GROCERY SHOPPING","COURSES AU SUPERMARCHE","Weekly Routine","Routine hebdomadaire","She buyed fresh vegetable and fruts at the market.","Elle a achete des legume frais et des fruts au marche.","She bought fresh vegetables and fruits at the market.","Elle a achete des legumes frais et des fruits au marche.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS028","correct_spelling","Tag_Family","A1","Easy","360","500","WEEKEND PLANS","PLANS DU WEEK-END","Family Activities","Activites familiales","My parents planed a picnik in the park for this Saterday.","Mes parents ont planifie un picnique dans le parc pour ce Samedi.","My parents planned a picnic in the park for this Saturday.","Mes parents ont planifie un pique-nique dans le parc pour ce samedi.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS029","correct_spelling","Tag_School","A1","Easy","360","500","HOMEWORK TIME","HEURE DES DEVOIRS","After School","Apres l ecole","The childrens do there homwork at the libary after scool.","Les enfants font leurs devoirs a la bibliotheque apres l ecole.","The children do their homework at the library after school.","Les enfants font leurs devoirs a la bibliotheque apres l ecole.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS030","correct_spelling","Tag_Travel","A1","Easy","360","500","TRAIN JOURNEY","VOYAGE EN TRAIN","Getting Around","Se deplacer","We taked the tran to Paris and arived at the stasion on time.","Nous avons pris le tren pour Paris et sommes arive a la gare a l heure.","We took the train to Paris and arrived at the station on time.","Nous avons pris le train pour Paris et sommes arrives a la gare a l heure.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS031","correct_spelling","Tag_Work","A2","Medium","360","500","NEW EMPLOYEE","NOUVEL EMPLOYE","First Day","Premier jour","The new employe was nervus but very enthusiasic on his frist day.","Le nouvel employe etait nerveux mais tres enthousiaste lors de son premire jour.","The new employee was nervous but very enthusiastic on his first day.","Le nouvel employe etait nerveux mais tres enthousiaste lors de son premier jour.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS032","correct_spelling","Tag_Health","A2","Medium","360","500","SLEEP ADVICE","CONSEILS DE SOMMEIL","Wellness Tips","Conseils de bien-etre","Docters recomend sleeping at lest eight houres every nite.","Les medcins recommandent de dormir au moin huit heures chaque nuit.","Doctors recommend sleeping at least eight hours every night.","Les medecins recommandent de dormir au moins huit heures chaque nuit.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS033","correct_spelling","Tag_Sports","A2","Medium","360","500","TRAINING SESSION","SEANCE D ENTRAINEMENT","Sports Routine","Routine sportive","The coatch telled the players to practise more and work as a teem.","L entraineur a dit aux joueurs de s entrainer plus et de travailler en equipe.","The coach told the players to practise more and work as a team.","L entraineur a dit aux joueurs de s entrainer davantage et de travailler en equipe.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS034","correct_spelling","Tag_Daily_Life","A2","Medium","360","500","RAINY DAY","JOUR DE PLUIE","Weather","Meteo","It was raning heavly so she decied to stay at home and reed.","Il pleuvait fortement alors elle a decider de rester a la maison et lire.","It was raining heavily so she decided to stay at home and read.","Il pleuvait fortement alors elle a decide de rester a la maison et lire.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS035","correct_spelling","Tag_Food","A2","Medium","360","500","COOKING CLASS","COURS DE CUISINE","Hobbies","Loisirs","She lerned how to cook tradisional French recipies at the cookng class.","Elle a apris a cuisiner des recetes francaises traditionneles au cours de cuisine.","She learned how to cook traditional French recipes at the cooking class.","Elle a appris a cuisiner des recettes francaises traditionnelles au cours de cuisine.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS036","correct_spelling","Tag_Work","B1","Medium","360","500","ANNUAL REPORT","RAPPORT ANNUEL","Business Writing","Redaction professionnelle","The anual report was presentted to the bord of directors last Thurstday.","Le rapport anuel a ete presente au conseil d administration jeudi dernier.","The annual report was presented to the board of directors last Thursday.","Le rapport annuel a ete presente au conseil d administration jeudi dernier.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS037","correct_spelling","Tag_School","B1","Medium","360","500","LIBRARY COLLECTION","COLLECTION DE LA BIBLIOTHEQUE","Academic Life","Vie academique","The libary has an extensiv colection of books on history and litarature.","La bibliotheque possede une vaste colection de livres sur l histoire et la literature.","The library has an extensive collection of books on history and literature.","La bibliotheque possede une vaste collection de livres sur l histoire et la litterature.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS038","correct_spelling","Tag_Travel","B1","Medium","360","500","CULTURAL VISIT","VISITE CULTURELLE","Tourism","Tourisme","Visiters are encuraged to respekt the local custums and tradisions.","Les visiteurs sont encourages a respecter les coutumes et tradisions locales.","Visitors are encouraged to respect the local customs and traditions.","Les visiteurs sont encourages a respecter les coutumes et traditions locales.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS039","correct_spelling","Tag_Family","B1","Medium","360","500","FAMILY HISTORY","HISTOIRE FAMILIALE","Generations","Generations","My grandparents have been livving in the same hous for more then fifty years.","Mes grands-parents vivent dans la meme maison depuis plus de cinquante ans.","My grandparents have been living in the same house for more than fifty years.","Mes grands-parents vivent dans la meme maison depuis plus de cinquante ans.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS040","correct_spelling","Tag_Daily_Life","B1","Medium","360","500","CITY PLANNING","URBANISME","Urban Life","Vie urbaine","The city counsil has aproved a new plan to improove publick transport.","Le conseil municipal a approuve un nouveau plan pour ameliorer les transports publics.","The city council has approved a new plan to improve public transport.","Le conseil municipal a approuve un nouveau plan pour ameliorer les transports publics.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
