ExerciseID,Question Type,Exercise Tag,Level,Difficulty,TimeLimitSeconds,Character Limit,Heading_EN,Heading_FR,Passage Title_EN,Passage Title_FR,Main instruction_FR,Main instruction_EN,Topic to cover_FR,Topic to cover_EN,Instructions box_FR,Instructions box_EN,Sample Answer_1_FR,Sample Answer_1_EN,Sample Answer_2_FR,Sample Answer_2_EN,Sample Answer_3_FR,Sample Answer_3_EN
WT016,write_topic,Tag_Sports,A2,Medium,360,500,SPORT AND HEALTH,SPORT ET SANTE,The Importance of Sport,L importance du sport,Ecrivez sur l importance du sport pour la sante et le bien-etre.,Write about the importance of sport for health and wellbeing.,Quel sport pratiquez-vous + Quels sont les bienfaits du sport + Comment le sport aide-t-il la sante mentale,What sport do you play + What are the benefits of sport + How does sport help mental health,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Je pratique le tennis deux fois par semaine. Le sport est essentiel pour rester en bonne sante physique et mentale. Quand je joue au tennis je me sens plus heureux et moins stresse.,I play tennis twice a week. Sport is essential for staying physically and mentally healthy. When I play tennis I feel happier and less stressed.,,,,
WT017,write_topic,Tag_Family,A2,Medium,360,500,FAMILY RELATIONSHIPS,RELATIONS FAMILIALES,Getting On With Family,S entendre avec sa famille,Ecrivez sur vos relations avec votre famille.,Write about your relationships with your family.,Avec qui vous entendez-vous bien + Que faites-vous ensemble + Y a-t-il des conflits parfois,Who do you get on well with + What do you do together + Are there sometimes conflicts,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Je m entends tres bien avec ma soeur. Nous regardons des films ensemble et nous parlons de tout. Parfois nous nous disputons mais nous faisons toujours la paix rapidement.,I get on very well with my sister. We watch films together and talk about everything. Sometimes we argue but we always make up quickly.,,,,
WT018,write_topic,Tag_Health,A2,Medium,360,500,MENTAL HEALTH,SANTE MENTALE,Looking After Your Mental Health,Prendre soin de sa sante mentale,Ecrivez sur l importance de la sante mentale et comment vous prenez soin de vous.,Write about the importance of mental health and how you look after yourself.,Qu est-ce que la sante mentale + Comment gerez-vous le stress + Que faites-vous pour vous detendre,What is mental health + How do you manage stress + What do you do to relax,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,La sante mentale est aussi importante que la sante physique. Pour gerer le stress je fais du yoga et je lis des livres. Il est important de parler de ses problemes avec des amis ou un professionnel.,Mental health is as important as physical health. To manage stress I do yoga and read books. It is important to talk about your problems with friends or a professional.,,,,
WT019,write_topic,Tag_School,A2,Medium,360,500,LEARNING LANGUAGES,APPRENDRE LES LANGUES,Why Learn a Foreign Language,Pourquoi apprendre une langue etrangere,Ecrivez sur les avantages d apprendre une langue etrangere.,Write about the advantages of learning a foreign language.,Pourquoi apprenez-vous le francais + Quels sont les avantages + Comment apprenez-vous,Why are you learning French + What are the advantages + How do you learn,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,J apprends le francais parce que c est une belle langue et parce que je veux travailler en France. Parler une langue etrangere ouvre de nombreuses portes professionnelles. J apprends en classe et aussi avec des applications sur mon telephone.,I am learning French because it is a beautiful language and because I want to work in France. Speaking a foreign language opens many professional doors. I learn in class and also with apps on my phone.,,,,
WT020,write_topic,Tag_Daily_Life,A2,Medium,360,500,SOCIAL MEDIA,LES RESEAUX SOCIAUX,Social Media and Young People,Les reseaux sociaux et les jeunes,Ecrivez sur l influence des reseaux sociaux sur les jeunes.,Write about the influence of social media on young people.,Utilisez-vous les reseaux sociaux + Quels sont les avantages et les inconvenients + Comment les utiliser de facon responsable,Do you use social media + What are the advantages and disadvantages + How to use them responsibly,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,J utilise les reseaux sociaux pour rester en contact avec mes amis et decouvrir de nouvelles choses. Cependant il y a des risques comme le harcelement en ligne. Il faut utiliser les reseaux sociaux de facon responsable et ne pas partager d informations personnelles.,I use social media to stay in touch with friends and discover new things. However there are risks such as online bullying. You must use social media responsibly and not share personal information.,,,,
WT021,write_topic,Tag_Work,A2,Medium,360,500,PART-TIME WORK,TRAVAIL A TEMPS PARTIEL,Working While Studying,Travailler en etudiant,Ecrivez sur les avantages et les inconvenients de travailler pendant les etudes.,Write about the advantages and disadvantages of working while studying.,Avez-vous un emploi a temps partiel + Quels sont les avantages + Y a-t-il des inconvenients,Do you have a part-time job + What are the advantages + Are there disadvantages,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Je travaille dans un cafe le week-end pour gagner de l argent. Cela m apprend la responsabilite et la gestion du temps. Cependant il est parfois difficile de concilier le travail et les etudes.,I work in a cafe at weekends to earn money. This teaches me responsibility and time management. However it is sometimes difficult to balance work and studies.,,,,
WT022,write_topic,Tag_Travel,A2,Medium,360,500,PUBLIC TRANSPORT,TRANSPORTS EN COMMUN,Getting Around the City,Se deplacer en ville,Ecrivez sur les transports en commun dans votre ville.,Write about public transport in your city.,Quels transports utilisez-vous + Sont-ils efficaces + Comment ameliorer les transports,What transport do you use + Is it efficient + How to improve transport,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Dans ma ville j utilise le metro et le bus pour me deplacer. Les transports en commun sont pratiques et moins polluants que la voiture. Je pense qu il faudrait investir davantage dans les transports publics pour reduire la pollution.,In my city I use the metro and bus to get around. Public transport is convenient and less polluting than the car. I think more investment in public transport is needed to reduce pollution.,,,,
WT023,write_topic,Tag_Work,B1,Medium,360,700,THE WORLD OF WORK,LE MONDE DU TRAVAIL,Work-Life Balance,L equilibre travail-vie personnelle,Discutez de l importance de l equilibre entre vie professionnelle et vie personnelle.,Discuss the importance of work-life balance.,Qu est-ce que l equilibre travail-vie personnelle + Pourquoi est-il important + Comment l atteindre,What is work-life balance + Why is it important + How to achieve it,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,L equilibre entre vie professionnelle et vie personnelle est essentiel pour le bien-etre. Travailler trop peut mener au burnout et affecter la sante mentale. Il est important de fixer des limites claires entre le travail et la vie privee et de prendre du temps pour ses loisirs et sa famille.,Work-life balance is essential for wellbeing. Working too much can lead to burnout and affect mental health. It is important to set clear boundaries between work and private life and to take time for hobbies and family.,,,,
WT024,write_topic,Tag_School,B1,Medium,360,700,EDUCATION SYSTEM,SYSTEME EDUCATIF,The Education System,Le systeme educatif,Donnez votre opinion sur le systeme educatif dans votre pays.,Give your opinion on the education system in your country.,Quels sont les points forts du systeme educatif + Quels sont les points faibles + Comment l ameliorer,What are the strengths of the education system + What are the weaknesses + How to improve it,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Le systeme educatif dans mon pays a de nombreux points forts notamment la qualite des enseignants et les ressources disponibles. Cependant il y a trop de pression sur les eleves avec de nombreux examens. Je pense qu il faudrait accorder plus d importance a la creativite et au bien-etre des eleves.,The education system in my country has many strengths including the quality of teachers and available resources. However there is too much pressure on students with many exams. I think more importance should be given to creativity and student wellbeing.,,,,
WT025,write_topic,Tag_Daily_Life,B1,Medium,360,700,ENVIRONMENT,L ENVIRONNEMENT,Protecting the Environment,Proteger l environnement,Discutez des actions que nous pouvons prendre pour proteger l environnement.,Discuss the actions we can take to protect the environment.,Quels sont les principaux problemes environnementaux + Que faites-vous personnellement + Que devrait faire le gouvernement,What are the main environmental problems + What do you personally do + What should the government do,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Le changement climatique est l un des plus grands defis de notre epoque. Personnellement je recycle mes dechets je prends les transports en commun et j evite le plastique a usage unique. Le gouvernement devrait investir davantage dans les energies renouvelables et imposer des taxes sur la pollution.,Climate change is one of the greatest challenges of our time. Personally I recycle my waste take public transport and avoid single-use plastic. The government should invest more in renewable energy and impose taxes on pollution.,,,,
WT026,write_topic,Tag_Health,B1,Medium,360,700,HEALTHCARE,LA SANTE PUBLIQUE,The Healthcare System,Le systeme de sante,Donnez votre opinion sur le systeme de sante dans votre pays.,Give your opinion on the healthcare system in your country.,Quels sont les avantages du systeme de sante + Quels sont les problemes + Comment l ameliorer,What are the advantages of the healthcare system + What are the problems + How to improve it,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Le systeme de sante dans mon pays offre des soins de qualite a tous les citoyens ce qui est un avantage majeur. Cependant les listes d attente sont souvent tres longues et le personnel medical est surcharge. Il faudrait recruter plus de medecins et investir dans la prevention des maladies.,The healthcare system in my country offers quality care to all citizens which is a major advantage. However waiting lists are often very long and medical staff are overworked. More doctors need to be recruited and investment in disease prevention is needed.,,,,
WT027,write_topic,Tag_Travel,B1,Medium,360,700,TOURISM,LE TOURISME,The Impact of Tourism,L impact du tourisme,Discutez des avantages et des inconvenients du tourisme de masse.,Discuss the advantages and disadvantages of mass tourism.,Quels sont les avantages economiques + Quels sont les impacts negatifs + Comment rendre le tourisme plus durable,What are the economic advantages + What are the negative impacts + How to make tourism more sustainable,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Le tourisme de masse apporte des benefices economiques importants aux pays qui le pratiquent. Cependant il peut aussi causer des dommages environnementaux et culturels. Il est important de promouvoir un tourisme responsable et durable qui respecte les communautes locales et l environnement.,Mass tourism brings important economic benefits to countries that practise it. However it can also cause environmental and cultural damage. It is important to promote responsible and sustainable tourism that respects local communities and the environment.,,,,
WT028,write_topic,Tag_Work,B1,Medium,360,700,GLOBALISATION,LA MONDIALISATION,Globalisation and Employment,La mondialisation et l emploi,Discutez de l impact de la mondialisation sur l emploi.,Discuss the impact of globalisation on employment.,Quels sont les effets positifs + Quels sont les effets negatifs + Quel est l avenir du travail,What are the positive effects + What are the negative effects + What is the future of work,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,La mondialisation a cree de nombreuses opportunites d emploi dans les pays en developpement et a permis aux entreprises de se developper a l international. Cependant elle a aussi entraine des delocalisations et la perte d emplois dans certains secteurs. L avenir du travail sera marque par l automatisation et la necessite de se former continuellement.,Globalisation has created many employment opportunities in developing countries and allowed companies to expand internationally. However it has also led to relocations and job losses in certain sectors. The future of work will be marked by automation and the need for continuous training.,,,,
WT029,write_topic,Tag_School,B1,Medium,360,700,HIGHER EDUCATION,L ENSEIGNEMENT SUPERIEUR,University Life,La vie universitaire,Decrivez les avantages et les defis de la vie universitaire.,Describe the advantages and challenges of university life.,Pourquoi aller a l universite + Quels sont les defis + Comment reussir ses etudes,Why go to university + What are the challenges + How to succeed in your studies,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,L universite offre l opportunite d approfondir ses connaissances et de se specialiser dans un domaine. Les defis incluent la gestion du temps la pression des examens et parfois les difficultes financieres. Pour reussir il faut etre organise travailler regulierement et ne pas hesiter a demander de l aide.,University offers the opportunity to deepen knowledge and specialise in a field. The challenges include time management exam pressure and sometimes financial difficulties. To succeed you need to be organised work regularly and not hesitate to ask for help.,,,,
WT030,write_topic,Tag_Daily_Life,B1,Medium,360,700,URBAN VS RURAL LIFE,VIE URBAINE ET RURALE,City Life vs Country Life,Vie en ville et vie a la campagne,Comparez la vie en ville et la vie a la campagne.,Compare city life and country life.,Quels sont les avantages de la ville + Quels sont les avantages de la campagne + Ou preferez-vous vivre,What are the advantages of the city + What are the advantages of the country + Where do you prefer to live,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,La vie en ville offre de nombreuses opportunites professionnelles culturelles et sociales. En revanche la vie a la campagne est plus calme et proche de la nature. Personnellement je prefere la ville pour ses commodites mais j apprecie aussi passer du temps a la campagne pour me ressourcer.,City life offers many professional cultural and social opportunities. On the other hand country life is quieter and closer to nature. Personally I prefer the city for its amenities but I also appreciate spending time in the country to recharge.,,,,
WT031,write_topic,Tag_Family,A1,Easy,360,300,MY PETS,MES ANIMAUX,My Pet,Mon animal de compagnie,Ecrivez sur votre animal de compagnie ou l animal que vous aimeriez avoir.,Write about your pet or the animal you would like to have.,Quel animal avez-vous + Comment s appelle-t-il + Que faites-vous avec lui,What animal do you have + What is its name + What do you do with it,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,J ai un chien qui s appelle Max. Il est grand et marron et il est tres joueur. Chaque soir je le promene dans le parc et nous jouons ensemble.,I have a dog called Max. He is big and brown and very playful. Every evening I take him for a walk in the park and we play together.,,,,
WT032,write_topic,Tag_Food,A1,Easy,360,300,A SPECIAL MEAL,UN REPAS SPECIAL,A Meal I Remember,Un repas dont je me souviens,Decrivez un repas special que vous avez mange.,Describe a special meal you have eaten.,Ou avez-vous mange + Qu avez-vous mange + Pourquoi etait-ce special,Where did you eat + What did you eat + Why was it special,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Pour mon anniversaire ma mere a prepare un repas special. Nous avons mange du poulet roti avec des pommes de terre et un gateau au chocolat. C etait delicieux et j etais tres content.,For my birthday my mother prepared a special meal. We ate roast chicken with potatoes and a chocolate cake. It was delicious and I was very happy.,,,,
WT033,write_topic,Tag_Sports,A2,Medium,360,500,A SPORTING EVENT,UN EVENEMENT SPORTIF,A Sports Event I Attended,Un evenement sportif auquel j ai assiste,Decrivez un evenement sportif auquel vous avez assiste ou regarde a la television.,Describe a sporting event you attended or watched on television.,Quel evenement avez-vous vu + Ou etait-il + Qu avez-vous ressenti,What event did you see + Where was it + How did you feel,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,L annee derniere j ai assiste a un match de football dans un grand stade. L atmosphere etait incroyable avec des milliers de supporters. Mon equipe a gagne et j etais tres heureux.,Last year I attended a football match in a big stadium. The atmosphere was incredible with thousands of supporters. My team won and I was very happy.,,,,
WT034,write_topic,Tag_Travel,A2,Medium,360,500,A CITY I LOVE,UNE VILLE QUE J AIME,My Favourite City,Ma ville preferee,Decrivez une ville que vous aimez et expliquez pourquoi.,Describe a city you love and explain why.,Quelle ville aimez-vous + Qu est-ce qu il y a a voir + Pourquoi la recommanderiez-vous,What city do you love + What is there to see + Why would you recommend it,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Ma ville preferee est Barcelone. Il y a de magnifiques plages et une architecture incroyable. Je recommande cette ville a tous ceux qui aiment la culture et la gastronomie.,My favourite city is Barcelona. There are beautiful beaches and incredible architecture. I recommend this city to everyone who loves culture and gastronomy.,,,,
WT035,write_topic,Tag_Daily_Life,A2,Medium,360,500,MY NEIGHBOURHOOD,MON QUARTIER,Where I Live,Mon quartier,Decrivez votre quartier et ce que vous aimez ou n aimez pas.,Describe your neighbourhood and what you like or dislike about it.,Comment est votre quartier + Qu est-ce qu il y a + Qu aimeriez-vous changer,What is your neighbourhood like + What is there + What would you like to change,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,J habite dans un quartier calme avec beaucoup de parcs et de commerces. J aime mon quartier parce qu il est sur et agreable. Cependant je voudrais qu il y ait plus de transports en commun.,I live in a quiet neighbourhood with many parks and shops. I like my neighbourhood because it is safe and pleasant. However I would like there to be more public transport.,,,,
WT036,write_topic,Tag_School,A1,Easy,360,300,MY BEST FRIEND,MON MEILLEUR AMI,My Best Friend,Mon meilleur ami,Ecrivez sur votre meilleur ami ou meilleure amie en francais.,Write about your best friend in French.,Comment s appelle votre ami + Ou vous etes-vous rencontres + Que faites-vous ensemble,What is your friend called + Where did you meet + What do you do together,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Mon meilleur ami s appelle Thomas. Nous nous sommes rencontres a l ecole primaire. Nous jouons au football ensemble et nous regardons des films le week-end.,My best friend is called Thomas. We met at primary school. We play football together and watch films at weekends.,,,,
WT037,write_topic,Tag_Health,A2,Medium,360,500,STRESS AND RELAXATION,STRESS ET DETENTE,Managing Stress,Gerer le stress,Ecrivez sur le stress et les moyens de se detendre.,Write about stress and ways to relax.,Qu est-ce qui vous stresse + Comment gerez-vous le stress + Quelles activites vous aident a vous detendre,What stresses you + How do you manage stress + What activities help you relax,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Les examens et les devoirs me stressent parfois. Pour me detendre j ecoute de la musique et je fais du sport. Ces activites m aident a me sentir mieux et a me concentrer.,Exams and homework sometimes stress me. To relax I listen to music and do sport. These activities help me feel better and concentrate.,,,,
WT038,write_topic,Tag_Work,A2,Medium,360,500,VOLUNTEERING,LE BENEVOLAT,Volunteering and Community Work,Le benevolat et le travail communautaire,Ecrivez sur le benevolat et son importance pour la societe.,Write about volunteering and its importance for society.,Avez-vous deja fait du benevolat + Pourquoi est-ce important + Comment cela vous a-t-il change,Have you ever volunteered + Why is it important + How has it changed you,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,J ai fait du benevolat dans une association caritative pendant les vacances. C etait une experience enrichissante qui m a appris la solidarite. Je pense que tout le monde devrait consacrer du temps au benevolat.,I volunteered at a charity during the holidays. It was an enriching experience that taught me solidarity. I think everyone should dedicate time to volunteering.,,,,
WT039,write_topic,Tag_Family,B1,Medium,360,700,CHANGING FAMILY STRUCTURES,EVOLUTION DE LA FAMILLE,Modern Family Life,La famille moderne,Discutez de l evolution des structures familiales dans la societe moderne.,Discuss the evolution of family structures in modern society.,Comment les familles ont-elles change + Quels sont les nouveaux modeles familiaux + Quels defis cela pose-t-il,How have families changed + What are the new family models + What challenges does this pose,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Les structures familiales ont beaucoup evolue ces dernieres decennies. On voit aujourd hui davantage de familles monoparentales recomposees et homoparentales. Ces changements refletent une societe plus ouverte mais posent aussi de nouveaux defis en termes de politiques sociales et d education.,Family structures have changed a great deal in recent decades. Today we see more single-parent blended and same-sex parent families. These changes reflect a more open society but also pose new challenges in terms of social policy and education.,,,,
WT040,write_topic,Tag_Daily_Life,B1,Medium,360,700,DIGITAL SOCIETY,LA SOCIETE NUMERIQUE,Living in a Digital World,Vivre dans un monde numerique,Discutez de l impact du numerique sur notre facon de vivre et de travailler.,Discuss the impact of digital technology on the way we live and work.,Comment le numerique a-t-il transforme notre quotidien + Quels sont les risques + Comment trouver un equilibre,How has digital technology transformed daily life + What are the risks + How to find a balance,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Le numerique a transforme notre facon de communiquer de travailler et de nous divertir. Cependant cette dependance technologique comporte des risques comme la perte de vie privee et l isolement social. Il est essentiel de trouver un equilibre entre le monde numerique et les interactions humaines reelles.,Digital technology has transformed the way we communicate work and entertain ourselves. However this technological dependence carries risks such as loss of privacy and social isolation. It is essential to find a balance between the digital world and real human interactions.,,,,

