id,passageText,questions,timeLimitSeconds
LP11,"Claire travaille dans une boulangerie depuis cinq ans. Elle commence à cinq heures du matin et finit à treize heures. Elle prépare des croissants, des baguettes et des gâteaux. Ses clients adorent ses tartes aux pommes.","[{""question"": ""Depuis combien de temps Claire travaille-t-elle dans la boulangerie?"", ""options"": [""Deux ans"", ""Trois ans"", ""Cinq ans"", ""Sept ans""], ""correctIndex"": 2}, {""question"": ""À quelle heure Claire commence-t-elle à travailler?"", ""options"": [""À quatre heures"", ""À cinq heures"", ""À six heures"", ""À sept heures""], ""correctIndex"": 1}]",120
LP12,Le cours de yoga a lieu le mardi et le jeudi soir de dix-neuf heures à vingt heures. Il y a dix places disponibles. Le professeur s'appelle Isabelle et enseigne le yoga depuis dix ans.,"[{""question"": ""Quels jours a lieu le cours de yoga?"", ""options"": [""Lundi et mercredi"", ""Mardi et jeudi"", ""Mercredi et vendredi"", ""Lundi et vendredi""], ""correctIndex"": 1}, {""question"": ""Combien de places sont disponibles?"", ""options"": [""Cinq places"", ""Huit places"", ""Dix places"", ""Quinze places""], ""correctIndex"": 2}]",120
LP13,Antoine a acheté une nouvelle voiture la semaine dernière. C'est une voiture électrique bleue. Elle peut faire trois cents kilomètres avec une seule charge. Il est très content de son achat.,"[{""question"": ""Quelle couleur est la voiture d'Antoine?"", ""options"": [""Rouge"", ""Verte"", ""Bleue"", ""Noire""], ""correctIndex"": 2}, {""question"": ""Combien de kilomètres peut faire la voiture avec une charge?"", ""options"": [""Deux cents kilomètres"", ""Deux cent cinquante kilomètres"", ""Trois cents kilomètres"", ""Quatre cents kilomètres""], ""correctIndex"": 2}]",120
LP14,La piscine municipale est ouverte tous les jours de sept heures à vingt et une heures. Les cours de natation pour enfants ont lieu le mercredi et le samedi matin. L'entrée coûte quatre euros.,"[{""question"": ""À quelle heure la piscine ouvre-t-elle?"", ""options"": [""À six heures"", ""À sept heures"", ""À huit heures"", ""À neuf heures""], ""correctIndex"": 1}, {""question"": ""Combien coûte l'entrée?"", ""options"": [""Deux euros"", ""Trois euros"", ""Quatre euros"", ""Cinq euros""], ""correctIndex"": 2}]",120
LP15,Lucie est infirmière dans un grand hôpital. Elle travaille en équipe de nuit trois fois par semaine. Elle aime son travail mais trouve les nuits difficiles. Elle a deux enfants et son mari s'occupe d'eux la nuit.,"[{""question"": ""Où travaille Lucie?"", ""options"": [""Dans une clinique"", ""Dans un cabinet médical"", ""Dans un grand hôpital"", ""Dans une pharmacie""], ""correctIndex"": 2}, {""question"": ""Combien d'enfants a Lucie?"", ""options"": [""Un enfant"", ""Deux enfants"", ""Trois enfants"", ""Quatre enfants""], ""correctIndex"": 1}]",120
LP16,Le festival de musique se déroule du quinze au dix-huit juillet. Plus de cinquante artistes se produiront sur trois scènes différentes. Les billets coûtent trente euros par jour ou cent euros pour les quatre jours.,"[{""question"": ""Combien de jours dure le festival?"", ""options"": [""Deux jours"", ""Trois jours"", ""Quatre jours"", ""Cinq jours""], ""correctIndex"": 2}, {""question"": ""Combien coûte un billet pour les quatre jours?"", ""options"": [""Cinquante euros"", ""Soixante-dix euros"", ""Quatre-vingt euros"", ""Cent euros""], ""correctIndex"": 3}]",120
LP17,"Marc apprend à cuisiner depuis six mois. Il suit des cours le samedi après-midi. Il a déjà appris à faire des omelettes, des salades et des pâtes. Son plat préféré à préparer est le bœuf bourguignon.","[{""question"": ""Depuis combien de temps Marc apprend-il à cuisiner?"", ""options"": [""Trois mois"", ""Six mois"", ""Un an"", ""Deux ans""], ""correctIndex"": 1}, {""question"": ""Quel est le plat préféré de Marc à préparer?"", ""options"": [""Les pâtes"", ""L'omelette"", ""La salade"", ""Le bœuf bourguignon""], ""correctIndex"": 3}]",120
LP18,La gare centrale est en travaux jusqu'en décembre. Certains trains partent de la gare secondaire pendant cette période. Les voyageurs doivent vérifier leur billet avant de partir.,"[{""question"": ""Jusqu'à quand dure la rénovation de la gare?"", ""options"": [""Jusqu'en octobre"", ""Jusqu'en novembre"", ""Jusqu'en décembre"", ""Jusqu'en janvier""], ""correctIndex"": 2}, {""question"": ""D'où partent certains trains pendant les travaux?"", ""options"": [""De la gare principale"", ""De la gare secondaire"", ""De l'aéroport"", ""Du centre-ville""], ""correctIndex"": 1}]",120
LP19,"Emma est photographe professionnelle. Elle voyage beaucoup pour son travail. La semaine dernière, elle était à Tokyo. La semaine prochaine, elle part à New York. Elle adore découvrir de nouvelles cultures.","[{""question"": ""Quel est le métier d'Emma?"", ""options"": [""Journaliste"", ""Photographe"", ""Cinéaste"", ""Peintre""], ""correctIndex"": 1}, {""question"": ""Où Emma était-elle la semaine dernière?"", ""options"": [""À Paris"", ""À Londres"", ""À Tokyo"", ""À New York""], ""correctIndex"": 2}]",120
LP20,"Le supermarché propose une livraison à domicile pour les commandes de plus de cinquante euros. La livraison est gratuite le mardi et le jeudi. Les autres jours, elle coûte cinq euros.","[{""question"": ""À partir de quel montant la livraison est-elle disponible?"", ""options"": [""Trente euros"", ""Quarante euros"", ""Cinquante euros"", ""Soixante euros""], ""correctIndex"": 2}, {""question"": ""Quand la livraison est-elle gratuite?"", ""options"": [""Le lundi et le mercredi"", ""Le mardi et le jeudi"", ""Le vendredi et le samedi"", ""Tous les jours""], ""correctIndex"": 1}]",120
