ExerciseID,Level,LearningLang,KnownLang,title_en,title_fr,correctOrder_fr,correctOrder_en,timeLimitSeconds,difficulty,exercise_tag
ROS011,B2,fr,en,A poorly received comment,Une remarque mal reçue,"[""Pendant une réunion d’équipe, une responsable souligne qu’un dossier a pris du retard alors que le calendrier avait été confirmé la semaine précédente."", ""Sur le moment, un employé entend surtout une critique personnelle, car c’est lui qui suit le projet depuis le début."", ""Pourtant, lorsqu’elle précise que plusieurs validations extérieures sont arrivées plus tard que prévu, le sens de sa remarque change légèrement."", ""Le malaise ne disparaît pas tout de suite, mais il devient clair qu’elle cherche moins un responsable qu’un ajustement réaliste du planning."", ""Au lieu de se défendre encore, l’employé propose de distinguer les tâches dépendantes des partenaires et celles que l’équipe peut avancer seule."", ""Cette reformulation recentre la discussion sur l’organisation plutôt que sur la faute."", ""La réunion se termine avec un calendrier révisé, plus prudent sans être décourageant.""]","[""During a team meeting, a manager points out that a file has fallen behind schedule even though the timetable had been confirmed the previous week."", ""At first, one employee mainly hears personal criticism, because he has been following the project from the start."", ""However, when she specifies that several external validations arrived later than expected, the meaning of her remark changes slightly."", ""The discomfort does not disappear immediately, but it becomes clear that she is looking less for someone to blame than for a realistic schedule adjustment."", ""Instead of continuing to defend himself, the employee suggests separating the tasks that depend on partners from those the team can move forward on alone."", ""This rephrasing brings the discussion back to organization rather than fault."", ""The meeting ends with a revised timetable, more cautious without being discouraging.""]",360,Medium,Management & leadership
ROS012,B2,fr,en,A message taken out of context,Un message sorti de son contexte,"[""Dans un espace de coworking, une indépendante reçoit une capture d’écran montrant l’une de ses phrases partagée sans le reste de la conversation."", ""Comme cette phrase semble beaucoup plus abrupte isolée que dans l’échange complet, elle comprend tout de suite pourquoi une cliente s’est vexée."", ""Elle hésite d’abord entre ignorer l’incident et répondre longuement pour se justifier."", ""Finalement, elle choisit d’appeler la cliente au lieu d’empiler de nouveaux messages écrits."", ""Pendant l’appel, elle replace la phrase dans le contexte d’une contrainte de délai qu’elles connaissaient toutes les deux."", ""La cliente admet alors avoir lu la capture comme un refus sec, alors qu’il s’agissait surtout d’une limite pratique."", ""Le malentendu n’efface pas toute gêne, mais il cesse de bloquer leur collaboration.""]","[""In a coworking space, a freelancer receives a screenshot showing one of her sentences shared without the rest of the conversation."", ""Since that sentence seems much more abrupt on its own than in the full exchange, she immediately understands why a client felt offended."", ""She first hesitates between ignoring the incident and replying at length to justify herself."", ""In the end, she chooses to call the client instead of piling up more written messages."", ""During the call, she puts the sentence back into the context of a time constraint they both already knew about."", ""The client then admits that she had read the screenshot as a blunt refusal, whereas it was mainly a practical limit."", ""The misunderstanding does not erase all awkwardness, but it stops blocking their collaboration.""]",360,Medium,Internet & Communication
ROS013,B2,fr,en,A longer wait than expected,Une attente plus longue que prévu,"[""À l’accueil de l’hôpital, un homme venu accompagner sa mère s’agace en voyant que l’heure du rendez-vous est largement dépassée."", ""Comme personne n’avait annoncé de retard au départ, il interprète d’abord ce silence comme un manque d’organisation."", ""Une agente prend pourtant le temps de lui expliquer qu’un cas urgent a mobilisé l’équipe plus longtemps que prévu."", ""Cette raison ne supprime pas la fatigue de l’attente, mais elle change sa manière de juger la situation."", ""Voyant que sa mère se fatigue aussi, il demande s’il existe au moins un ordre de passage approximatif pour mieux s’organiser."", ""L’agente lui donne alors une estimation honnête et leur propose un endroit plus calme où s’asseoir."", ""Ils restent donc sur place, moins irrités, même si le contretemps n’est pas vraiment résolu.""]","[""At the hospital reception desk, a man who came with his mother gets annoyed when he sees that the appointment time has long passed."", ""Since no delay had been announced at first, he initially interprets this silence as poor organization."", ""Yet a staff member takes the time to explain that an urgent case kept the team busy longer than expected."", ""This reason does not remove the tiredness of waiting, but it changes the way he judges the situation."", ""Seeing that his mother is getting tired too, he asks whether there is at least an approximate order of appointments so they can organize themselves better."", ""The staff member then gives him an honest estimate and offers them a quieter place to sit."", ""They therefore stay on site, less irritated, even though the delay is not really solved.""]",360,Medium,Hospital and Pharmacy essentials
ROS014,B2,fr,en,Data that contradicts the hypothesis,Une donnée qui contredit l’hypothèse,"[""Dans la salle de classe, trois étudiants comparent les premiers résultats d’une enquête qu’ils pensaient presque terminée."", ""L’un remarque qu’une série de réponses va clairement à l’encontre de l’hypothèse qu’ils défendaient depuis le début."", ""Au lieu d’écarter trop vite ces données gênantes, leur enseignante leur demande de vérifier d’abord si le problème vient de la méthode ou du terrain."", ""En reprenant les questionnaires, ils constatent que les réponses discordantes proviennent justement d’un groupe qu’ils avaient peu pris en compte jusque-là."", ""Cette découverte ne détruit pas tout leur travail, mais elle les oblige à revoir ce qu’ils croyaient représentatif."", ""Ils décident alors d’ajouter une limite explicite dans leur présentation au lieu de forcer une conclusion trop simple."", ""Leur analyse devient moins spectaculaire, mais aussi plus crédible.""]","[""In the classroom, three students compare the first results of a survey they thought was almost finished."", ""One notices that a set of answers clearly goes against the hypothesis they had defended from the beginning."", ""Instead of dismissing those inconvenient data too quickly, their teacher asks them first to check whether the problem comes from the method or from the field itself."", ""Going back over the questionnaires, they see that the conflicting answers come precisely from a group they had paid little attention to until then."", ""This discovery does not destroy all their work, but it forces them to review what they thought was representative."", ""They then decide to add an explicit limitation in their presentation instead of forcing an overly simple conclusion."", ""Their analysis becomes less striking, but also more credible.""]",360,Medium,Research & analysis
ROS015,B2,fr,en,An impossible replacement,Un remplacement impossible,"[""En fin d’après-midi, dans un restaurant, une serveuse apprend qu’un collègue prévu pour le service du soir ne viendra finalement pas."", ""Comme l’équipe tourne déjà juste, le responsable commence par chercher quelqu’un pour le remplacer au pied levé."", ""Très vite, il comprend pourtant que les autres employés ont eux aussi des contraintes déjà fixées."", ""Au lieu d’exiger un effort supplémentaire sans discussion, il réorganise la salle pour réduire légèrement le nombre de tables ouvertes."", ""Cette décision déçoit quelques clients à l’entrée, mais elle évite de mettre l’équipe restante dans une situation impossible."", ""La serveuse, d’abord irritée par la tension du moment, reconnaît ensuite que cette solution protège aussi la qualité du service."", ""Le soir est plus chargé que prévu, sans devenir ingérable.""]","[""Late in the afternoon, in a restaurant, a waitress learns that a colleague who was supposed to work the evening shift will ultimately not come."", ""Since the team is already short-staffed, the manager first tries to find someone to replace him at short notice."", ""Very quickly, however, he realizes that the other employees also already have fixed constraints."", ""Instead of demanding extra effort without discussion, he reorganizes the dining room to slightly reduce the number of tables open."", ""This decision disappoints a few customers at the entrance, but it prevents the remaining team from being put in an impossible situation."", ""The waitress, initially irritated by the tension of the moment, later admits that this solution also protects the quality of service."", ""The evening is busier than expected, without becoming unmanageable.""]",360,Medium,Employment & labour issues
ROS016,B2,fr,en,Two housing options,Deux options de logement,"[""Au café, un couple compare deux appartements visités le même jour, sans réussir d’abord à se mettre d’accord."", ""L’un préfère le quartier plus vivant, tandis que l’autre insiste sur le calme et la lumière du second logement."", ""Comme ils avaient promis de répondre rapidement à l’agence, la discussion devient plus pressée qu’ils ne l’auraient voulu."", ""En reprenant leurs notes, ils s’aperçoivent pourtant qu’ils ne parlent pas exactement de la même priorité."", ""Pour l’un, le vrai critère est le temps de trajet quotidien, alors que pour l’autre c’est surtout la possibilité d’y travailler au calme."", ""À partir de là, ils cessent de défendre un appartement “en général” et évaluent chaque option selon l’usage concret qu’ils en feront."", ""Ils choisissent finalement le second bien, non parce qu’il est parfait, mais parce qu’il répond mieux à leur rythme réel.""]","[""In a café, a couple compares two apartments visited on the same day, at first without managing to agree."", ""One prefers the livelier neighborhood, while the other insists on the quiet and brightness of the second place."", ""Since they had promised to answer the agency quickly, the discussion becomes more rushed than they would have liked."", ""Looking back at their notes, however, they realize that they are not talking about exactly the same priority."", ""For one of them, the real criterion is the daily travel time, whereas for the other it is mainly the possibility of working there in peace."", ""From that point on, they stop defending one apartment “in general” and evaluate each option according to the concrete use they will make of it."", ""They finally choose the second property, not because it is perfect, but because it suits their real rhythm better.""]",360,Medium,"Comparison, evaluation & interpretation"
ROS017,B2,fr,en,A misread chart,Un tableau mal compris,"[""Dans une salle de réunion, une analyste projette un tableau que plusieurs collègues interprètent immédiatement comme un signe de baisse générale."", ""Elle les laisse d’abord formuler leurs conclusions, puis remarque que tout le monde s’appuie sur la même colonne sortie de son contexte."", ""En réalité, le recul visible concerne seulement un segment précis, alors qu’un autre a progressé sur la même période."", ""Comme la présentation initiale n’a pas assez mis cette distinction en évidence, elle admet sa part de responsabilité dans la confusion."", ""Elle réorganise ensuite les données pour montrer la différence entre volume global et performance par catégorie."", ""Ce simple changement visuel ne rend pas les chiffres meilleurs, mais il évite une décision fondée sur une lecture trop rapide."", ""La discussion reprend alors sur des bases plus solides, même si certaines inquiétudes restent légitimes.""]","[""In a meeting room, an analyst projects a chart that several colleagues immediately interpret as a sign of an overall decline."", ""She first lets them express their conclusions, then notices that everyone is relying on the same column taken out of context."", ""In reality, the visible drop concerns only one specific segment, while another has progressed over the same period."", ""Since the initial presentation did not highlight this distinction clearly enough, she admits her share of responsibility in the confusion."", ""She then reorganizes the data to show the difference between overall volume and performance by category."", ""This simple visual change does not make the figures better, but it prevents a decision based on an overly quick reading."", ""The discussion then resumes on firmer ground, even if some concerns remain legitimate.""]",360,Medium,"Data, information & knowledge"
ROS018,B2,fr,en,A form that is too simple,Un formulaire trop simple,"[""Au guichet administratif, un étudiant étranger remplit un formulaire qui lui paraît simple jusqu’au moment où une case sur la nationalité le fait hésiter."", ""Il pourrait répondre rapidement, mais il sait que sa situation familiale et son parcours rendent la catégorie moins évidente qu’elle n’en a l’air."", ""Comme la file avance derrière lui, il craint de bloquer tout le monde pour une question qu’on jugerait peut-être secondaire."", ""Une agente remarque pourtant son hésitation et lui demande calmement ce qui pose problème."", ""En l’écoutant, elle comprend que ce n’est pas le document qui manque, mais la manière dont son parcours entre dans une case administrative trop rigide."", ""Elle lui indique alors la formulation à utiliser pour rester exact sans compliquer inutilement le dossier."", ""Le formulaire est finalement déposé, même s’il lui laisse l’impression que certaines réalités entrent mal dans les cases prévues.""]","[""At the administrative counter, a foreign student fills out a form that seems simple to him until one box about nationality makes him hesitate."", ""He could answer quickly, but he knows that his family situation and background make the category less obvious than it looks."", ""Since the line is moving behind him, he fears holding everyone up over a question that might be seen as secondary."", ""A clerk notices his hesitation, however, and calmly asks what is causing the problem."", ""Listening to him, she understands that the issue is not a missing document, but the way his personal background fits into an administrative box that is too rigid."", ""She then tells him what wording to use in order to stay accurate without making the application unnecessarily complicated."", ""The form is finally submitted, even though it leaves him with the feeling that some realities do not fit well into the expected boxes.""]",360,Medium,Migration & identity
ROS019,B2,fr,en,A power cut announced too late,Une coupure annoncée trop tard,"[""Dans le quartier, plusieurs commerçants découvrent le matin même qu’une coupure d’électricité est prévue en milieu d’après-midi pour des travaux."", ""Comme l’information est arrivée tard, chacun mesure immédiatement les conséquences pour son activité."", ""Un gérant de café pense d’abord surtout aux pertes possibles, tandis que sa voisine de la boulangerie cherche déjà comment sauver la production en cours."", ""Très vite, ils comprennent qu’ils ont intérêt à coordonner leurs réponses plutôt qu’à gérer chacun le problème séparément."", ""Ils contactent ensemble le service concerné pour vérifier la durée réelle de l’intervention, qui s’annonce finalement plus courte que prévu."", ""Cette précision ne supprime pas tous les ajustements à faire, mais elle permet d’éviter des fermetures inutiles."", ""À la fin de la matinée, l’inquiétude a laissé place à une organisation plus concrète.""]","[""In the neighborhood, several shopkeepers discover on the very same morning that a power cut is planned for mid-afternoon because of maintenance work."", ""Since the information arrived late, each one immediately measures the consequences for their business."", ""A café manager first thinks mainly about possible losses, while his neighbor from the bakery is already looking for a way to save the current production."", ""Very quickly, they realize that they have an interest in coordinating their responses instead of each dealing with the problem alone."", ""Together they contact the relevant service to check the real length of the intervention, which finally turns out to be shorter than expected."", ""This clarification does not remove all the adjustments that must be made, but it prevents unnecessary closures."", ""By the end of the morning, the anxiety has given way to a more concrete organization.""]",360,Medium,Climate & energy
ROS020,B2,fr,en,Rethinking a celebration,Une fête repensée,"[""Dans le jardin familial, les préparatifs d’une fête traditionnelle commencent avec enthousiasme, mais un détail relance vite un vieux désaccord."", ""Une tante tient à conserver le déroulement habituel, alors que les plus jeunes veulent alléger certains passages qu’ils jugent trop rigides."", ""Comme personne ne veut donner l’impression de manquer de respect à la tradition, le débat reste poli sans être simple."", ""Un oncle propose alors de distinguer ce qui relève vraiment du sens de la fête et ce qui n’est qu’une habitude ajoutée avec le temps."", ""Cette remarque change le ton, car elle permet de défendre des ajustements sans attaquer la mémoire familiale."", ""Le groupe garde finalement les moments symboliques essentiels, mais simplifie le reste pour que tout le monde y participe plus volontiers."", ""La célébration n’est pas identique aux années précédentes, pourtant elle paraît plus partagée.""]","[""In the family garden, preparations for a traditional celebration begin enthusiastically, but one detail soon revives an old disagreement."", ""An aunt insists on keeping the usual sequence, while the younger people want to lighten some parts they consider too rigid."", ""Since nobody wants to seem disrespectful toward tradition, the debate remains polite without being simple."", ""An uncle then suggests separating what truly belongs to the meaning of the celebration from what is only a habit added over time."", ""This remark changes the tone, because it makes it possible to support adjustments without attacking family memory."", ""In the end, the group keeps the essential symbolic moments but simplifies the rest so that everyone takes part more willingly."", ""The celebration is not identical to previous years, yet it feels more shared.""]",360,Medium,Cultural heritage & traditions
ROS021,B2,fr,en,A difficult complaint to phrase,Une plainte difficile à formuler,"[""À l’accueil d’un service public, une femme revient pour signaler un traitement qu’elle juge inéquitable, sans vouloir pour autant accuser quelqu’un à tort."", ""Ce qu’elle a vécu l’a mise en colère, mais elle sait aussi qu’une plainte mal formulée risque d’être écartée avant même d’être étudiée."", ""L’agent qui la reçoit comprend rapidement qu’elle n’attend pas seulement un formulaire, mais aussi une manière claire d’exposer les faits sans les déformer."", ""Au fil de l’échange, il l’aide donc à distinguer ce qui relève de son ressenti, ce qui peut être prouvé, et ce qui reste une interprétation."", ""Cette séparation ne diminue pas ce qu’elle a subi, mais elle rend sa démarche plus solide."", ""Lorsqu’elle relit sa déclaration, le ton paraît moins accusateur qu’au départ, tout en étant plus précis."", ""Elle la dépose finalement avec le sentiment paradoxal d’être à la fois moins emportée et mieux entendue.""]","[""At the reception desk of a public service, a woman comes back to report treatment she considers unfair, without wanting to accuse anyone wrongly."", ""What she experienced made her angry, but she also knows that a poorly phrased complaint risks being dismissed before it is even examined."", ""The agent receiving her quickly understands that she is not only expecting a form, but also a clear way to present the facts without distorting them."", ""As the exchange goes on, he helps her distinguish what comes from her feelings, what can be proven, and what remains interpretation."", ""This separation does not lessen what she went through, but it makes her approach stronger."", ""When she rereads her statement, the tone sounds less accusatory than at first while being more precise."", ""She finally submits it with the paradoxical feeling of being both less carried away and better heard.""]",360,Hard,"Conflict, justice & rights"
ROS022,B2,fr,en,A provisional conclusion,Une conclusion provisoire,"[""Dans un laboratoire universitaire, une doctorante présente à son directeur une conclusion qu’elle croyait enfin stabilisée."", ""En l’écoutant, il ne conteste pas directement son raisonnement, mais lui demande ce qui se passerait si une variable encore peu étudiée pesait davantage qu’elle ne l’imagine."", ""Cette question, posée sans brutalité, fragilise pourtant tout l’équilibre de son interprétation."", ""Elle pourrait défendre sa première lecture jusqu’au bout, car rien ne la rend totalement absurde."", ""Pourtant, en reprenant certains résultats, elle voit que ce scénario secondaire explique mieux une irrégularité qu’elle avait jusqu’ici traitée comme marginale."", ""Son hypothèse initiale ne s’effondre pas complètement, mais elle cesse d’être la seule lecture plausible."", ""La discussion se termine donc non par une certitude plus forte, mais par une conclusion plus prudente et mieux argumentée.""]","[""In a university lab, a doctoral student presents to her supervisor a conclusion she thought was finally settled."", ""Listening to her, he does not directly challenge her reasoning, but asks what would happen if a still little-studied variable mattered more than she imagines."", ""This question, asked without harshness, nevertheless weakens the whole balance of her interpretation."", ""She could defend her first reading to the end, because nothing makes it totally absurd."", ""Yet, when she reexamines certain results, she sees that this secondary scenario better explains an irregularity that she had until then treated as marginal."", ""Her initial hypothesis does not completely collapse, but it stops being the only plausible reading."", ""The discussion therefore ends not with greater certainty, but with a more cautious and better argued conclusion.""]",360,Hard,"Hypothesis, nuance & uncertainty"
